lambda,abs,Pigment
354.21494,0.378980498,Chlorophyll
356.208867,0.361393006,Chlorophyll
357.6037266,0.327895894,Chlorophyll
359.3975699,0.295605322,Chlorophyll
361.1926677,0.293201525,Chlorophyll
362.9895663,0.333699713,Chlorophyll
364.7860603,0.364557005,Chlorophyll
365.9844378,0.402160781,Chlorophyll
366.9829442,0.430122948,Chlorophyll
367.982098,0.473510548,Chlorophyll
369.1808802,0.520755219,Chlorophyll
370.3792983,0.559323085,Chlorophyll
371.3779462,0.590659566,Chlorophyll
372.1776942,0.635492585,Chlorophyll
373.1766457,0.674059737,Chlorophyll
374.1753948,0.707806441,Chlorophyll
375.1744677,0.749265861,Chlorophyll
376.9713866,0.790246094,Chlorophyll
378.5680902,0.813389955,Chlorophyll
379.3673526,0.846653901,Chlorophyll
379.9674519,0.887147803,Chlorophyll
380.5678547,0.934872377,Chlorophyll
381.4338082,0.972957008,Chlorophyll
382.1005988,1.018271596,Chlorophyll
382.9672504,1.072986771,Chlorophyll
383.966212,1.111794946,Chlorophyll
385.3639448,1.14674819,Chlorophyll
386.7621025,1.191824374,Chlorophyll
387.7612766,1.235694019,Chlorophyll
388.7600864,1.270886857,Chlorophyll
389.9582212,1.302706096,Chlorophyll
391.1564369,1.336453514,Chlorophyll
392.1558841,1.386830763,Chlorophyll
392.9554196,1.426602312,Chlorophyll
394.3535187,1.470280567,Chlorophyll
396.5480028,1.478676001,Chlorophyll
398.5425166,1.475067807,Chlorophyll
399.9402494,1.510021051,Chlorophyll
401.1388698,1.553409365,Chlorophyll
402.9359101,1.597281866,Chlorophyll
404.7309269,1.59294989,Chlorophyll
406.5244667,1.553428647,Chlorophyll
408.3205155,1.573680954,Chlorophyll
409.5188931,1.611284731,Chlorophyll
411.3154275,1.643106112,Chlorophyll
413.7084393,1.629135384,Chlorophyll
416.1020582,1.629625998,Chlorophyll
418.4961627,1.641685687,Chlorophyll
420.8900243,1.647960839,Chlorophyll
423.0854919,1.679783648,Chlorophyll
425.2809594,1.711606458,Chlorophyll
427.2767175,1.737644017,Chlorophyll
429.272415,1.762235441,Chlorophyll
431.6657911,1.756941519,Chlorophyll
434.0598753,1.768519163,Chlorophyll
435.856693,1.807089171,Chlorophyll
437.6530048,1.83360806,Chlorophyll
440.0459964,1.819155287,Chlorophyll
442.4386643,1.796989798,Chlorophyll
444.8321213,1.793624054,Chlorophyll
447.2257806,1.795078758,Chlorophyll
449.619966,1.809066626,Chlorophyll
452.0143133,1.826910852,Chlorophyll
454.4087213,1.846201212,Chlorophyll
456.8022997,1.845727737,Chlorophyll
458.5960823,1.811991031,Chlorophyll
460.3896828,1.773915922,Chlorophyll
462.7832207,1.772478357,Chlorophyll
465.1780334,1.801409613,Chlorophyll
467.572239,1.815879525,Chlorophyll
469.7658612,1.803739853,Chlorophyll
471.3599183,1.763832259,Chlorophyll
472.3558549,1.730574741,Chlorophyll
473.1521428,1.692978106,Chlorophyll
473.9484308,1.655381471,Chlorophyll
474.7442938,1.607661896,Chlorophyll
475.3402047,1.548372533,Chlorophyll
475.86991,1.495831558,Chlorophyll
476.7322822,1.448594266,Chlorophyll
477.461191,1.389787423,Chlorophyll
477.9912402,1.345441209,Chlorophyll
478.720574,1.296757307,Chlorophyll
479.1838309,1.245180183,Chlorophyll
479.7138397,1.19986988,Chlorophyll
480.1114374,1.168056354,Chlorophyll
480.2422703,1.116960085,Chlorophyll
480.7060735,1.07839817,Chlorophyll
481.103307,1.037907838,Chlorophyll
481.8320944,0.976208727,Chlorophyll
482.2955536,0.929452052,Chlorophyll
482.8918287,0.878839494,Chlorophyll
483.4224041,0.847026444,Chlorophyll
483.8863085,0.810874753,Chlorophyll
484.6155613,0.760262671,Chlorophyll
485.1458938,0.722665084,Chlorophyll
485.8752073,0.673499137,Chlorophyll
486.6714346,0.634456367,Chlorophyll
487.6669261,0.590593865,Chlorophyll
488.6625187,0.549141586,Chlorophyll
489.4590495,0.517329488,Chlorophyll
490.2553374,0.479732853,Chlorophyll
491.0518682,0.447920755,Chlorophyll
492.0476227,0.410324834,Chlorophyll
493.2429247,0.374657807,Chlorophyll
494.4382267,0.338990779,Chlorophyll
495.8328738,0.300432197,Chlorophyll
497.8259611,0.262839847,Chlorophyll
500.2182243,0.231033462,Chlorophyll
502.611398,0.220919092,Chlorophyll
505.0048955,0.218517437,Chlorophyll
507.3979276,0.205028754,Chlorophyll
509.7905347,0.18141713,Chlorophyll
512.1834252,0.164554133,Chlorophyll
514.5765989,0.154439763,Chlorophyll
516.9696917,0.142397213,Chlorophyll
519.3631284,0.138549425,Chlorophyll
521.7568484,0.141450263,Chlorophyll
524.1508113,0.150135639,Chlorophyll
526.5446123,0.154964656,Chlorophyll
528.9384942,0.161721852,Chlorophyll
531.3324772,0.170889272,Chlorophyll
533.7264603,0.180056693,Chlorophyll
536.1205243,0.191152292,Chlorophyll
538.5144872,0.199837667,Chlorophyll
540.9085107,0.209969177,Chlorophyll
543.3025342,0.220100687,Chlorophyll
545.6964566,0.227821973,Chlorophyll
548.0901969,0.231204856,Chlorophyll
550.48418,0.240372276,Chlorophyll
552.8780416,0.246647427,Chlorophyll
555.2723889,0.264491653,Chlorophyll
557.6667969,0.283782014,Chlorophyll
560.0612656,0.304518508,Chlorophyll
562.4555522,0.3209166,Chlorophyll
564.8496769,0.333458333,Chlorophyll
567.2437409,0.344553933,Chlorophyll
569.6372181,0.341670234,Chlorophyll
571.4315066,0.319984647,Chlorophyll
572.626849,0.285281708,Chlorophyll
573.6224012,0.24286534,Chlorophyll
574.418932,0.211053242,Chlorophyll
575.4148079,0.17634959,Chlorophyll
577.0087921,0.134706635,Chlorophyll
579.2021634,0.116589608,Chlorophyll
581.5958429,0.118526357,Chlorophyll
583.9896034,0.122391284,Chlorophyll
586.3830402,0.118543496,Chlorophyll
588.7769828,0.126746827,Chlorophyll
591.1708647,0.133504023,Chlorophyll
593.5647466,0.140261219,Chlorophyll
595.9586892,0.14846455,Chlorophyll
598.3526925,0.158114015,Chlorophyll
600.7466351,0.166317346,Chlorophyll
603.1408003,0.179823169,Chlorophyll
605.5349048,0.191882857,Chlorophyll
607.9288676,0.200568233,Chlorophyll
610.323134,0.21648428,Chlorophyll
612.7179264,0.24493349,Chlorophyll
615.1124558,0.267116119,Chlorophyll
617.5069447,0.288334659,Chlorophyll
619.9013325,0.307142974,Chlorophyll
622.2954167,0.318720618,Chlorophyll
624.6894807,0.329816217,Chlorophyll
627.083565,0.341393861,Chlorophyll
629.477366,0.346222879,Chlorophyll
631.8711062,0.349605762,Chlorophyll
634.2652512,0.36262954,Chlorophyll
636.6593152,0.373725139,Chlorophyll
639.0534399,0.386266873,Chlorophyll
641.4476455,0.400736785,Chlorophyll
643.8422559,0.424847593,Chlorophyll
646.0375008,0.451367911,Chlorophyll
647.8342173,0.487527695,Chlorophyll
649.4315887,0.526579034,Chlorophyll
650.6297842,0.559844408,Chlorophyll
651.6286749,0.596965425,Chlorophyll
652.6944795,0.644209621,Chlorophyll
653.4277791,0.690006492,Chlorophyll
654.2274967,0.734116444,Chlorophyll
655.0270322,0.773887994,Chlorophyll
655.827023,0.82450555,Chlorophyll
656.6265888,0.865000167,Chlorophyll
657.4262154,0.906940918,Chlorophyll
658.2262669,0.959004609,Chlorophyll
659.0255899,0.993714689,Chlorophyll
660.0246426,1.034692064,Chlorophyll
661.6219937,1.073261358,Chlorophyll
663.8166721,1.086284423,Chlorophyll
665.6103535,1.050137493,Chlorophyll
666.6061688,1.013987706,Chlorophyll
667.2025046,0.964821283,Chlorophyll
667.6000415,0.931561622,Chlorophyll
668.1967415,0.891072005,Chlorophyll
668.7928345,0.836121044,Chlorophyll
669.3890489,0.784062352,Chlorophyll
670.1177958,0.721399151,Chlorophyll
670.581417,0.678498834,Chlorophyll
670.978529,0.635116233,Chlorophyll
671.7073367,0.573899167,Chlorophyll
671.971127,0.522321329,Chlorophyll
672.3689068,0.494846206,Chlorophyll
672.8988347,0.447607723,Chlorophyll
673.3629616,0.416758525,Chlorophyll
