lambda,em,pigment
485.8953052,-0.503769245,Phycoerythrin
487.0347551,-0.349713748,Phycoerythrin
488.1744646,-0.123329533,Phycoerythrin
489.332948,0.045176131,Phycoerythrin
490.4530677,0.102120069,Phycoerythrin
491.4960892,-0.167386186,Phycoerythrin
492.9180373,-0.633524785,Phycoerythrin
494.055707,-0.975437642,Phycoerythrin
495.1947489,-0.93504156,Phycoerythrin
496.334718,-0.636328626,Phycoerythrin
497.6654671,-0.069121936,Phycoerythrin
498.8238169,0.062186101,Phycoerythrin
499.9426608,-0.236313948,Phycoerythrin
501.0811094,-0.361240651,Phycoerythrin
502.2190387,-0.63082479,Phycoerythrin
503.2615855,-1.032589272,Phycoerythrin
504.399767,-1.231911227,Phycoerythrin
506.2603159,-1.134244092,Phycoerythrin
507.3427618,-0.996674143,Phycoerythrin
508.4831389,-0.584301795,Phycoerythrin
509.6422379,-0.244273742,Phycoerythrin
510.7623725,-0.183196735,Phycoerythrin
511.9005985,-0.370119481,Phycoerythrin
513.039455,-0.381386769,Phycoerythrin
514.1786453,-0.29965999,Phycoerythrin
515.3182806,-0.093941123,Phycoerythrin
516.4580273,0.142775766,Phycoerythrin
517.6155167,0.034365766,Phycoerythrin
518.7345534,-0.210404379,Phycoerythrin
519.8730391,-0.324998407,Phycoerythrin
521.1068219,-0.331177242,Phycoerythrin
522.1510859,-0.254538916,Phycoerythrin
523.2911292,0.064839366,Phycoerythrin
524.4302082,0.115568122,Phycoerythrin
525.5691018,0.114633508,Phycoerythrin
526.7075503,-0.010293194,Phycoerythrin
527.8464439,-0.011227808,Phycoerythrin
528.9853375,-0.012162421,Phycoerythrin
530.1242311,-0.013097035,Phycoerythrin
531.2631247,-0.014031649,Phycoerythrin
532.3831258,0.009847732,Phycoerythrin
533.5410602,0.02542982,Phycoerythrin
534.6801022,0.065825902,Phycoerythrin
535.819515,0.209548725,Phycoerythrin
536.95941,0.487596311,Phycoerythrin
538.0995275,0.827639941,Phycoerythrin
539.2392741,1.06435683,Phycoerythrin
540.3782048,1.07375489,Phycoerythrin
541.5179143,1.300139105,Phycoerythrin
542.6577722,1.567854017,Phycoerythrin
543.8547972,1.897518242,Phycoerythrin
544.9376363,2.144614536,Phycoerythrin
546.077457,2.401996774,Phycoerythrin
547.2174633,2.711042381,Phycoerythrin
548.2623466,2.960236364,Phycoerythrin
549.4976983,3.391129641,Phycoerythrin
550.6381124,3.813834663,Phycoerythrin
551.6835818,4.226284896,Phycoerythrin
552.6353004,4.961192443,Phycoerythrin
553.6819491,5.70222171,Phycoerythrin
554.8224375,6.14559208,Phycoerythrin
555.963853,6.847279302,Phycoerythrin
557.1055282,7.621295242,Phycoerythrin
558.2472405,8.405643855,Phycoerythrin
559.1991928,9.205647249,Phycoerythrin
559.961107,9.943810368,Phycoerythrin
560.6280577,10.66655236,Phycoerythrin
561.2949343,11.368629,Phycoerythrin
561.9615883,12.0087096,Phycoerythrin
562.6290212,12.86577636,Phycoerythrin
563.2955393,13.46797049,Phycoerythrin
563.9623849,14.16143657,Phycoerythrin
564.7245587,14.9719284,Phycoerythrin
565.5817182,15.80404097,Phycoerythrin
566.4389444,16.65475235,Phycoerythrin
567.201044,17.44457884,Phycoerythrin
567.9631436,18.23440533,Phycoerythrin
568.725132,18.9932338,Phycoerythrin
569.3921878,19.7452517,Phycoerythrin
569.9641418,20.44327316,Phycoerythrin
570.8022776,21.26369094,Phycoerythrin
571.2042258,22.19261564,Phycoerythrin
572.2512108,23.02732782,Phycoerythrin
573.2980078,23.80968779,Phycoerythrin
574.3448346,24.60031389,Phycoerythrin
575.1062134,25.18934208,Phycoerythrin
575.6783058,25.92593885,Phycoerythrin
576.2505466,26.70386632,Phycoerythrin
576.8227008,27.45768422,Phycoerythrin
577.299805,28.17197142,Phycoerythrin
577.7773667,29.01369493,Phycoerythrin
578.1604248,29.96812248,Phycoerythrin
578.6692082,30.6944385,Phycoerythrin
579.1151377,31.53722124,Phycoerythrin
579.7818721,32.1996893,Phycoerythrin
580.5440459,33.01018114,Phycoerythrin
581.4954975,33.67069343,Phycoerythrin
582.5405959,33.97981693,Phycoerythrin
583.7735072,33.73082025,Phycoerythrin
584.7199149,32.98608888,Phycoerythrin
585.57094,32.10917716,Phycoerythrin
586.4225437,31.39345515,Phycoerythrin
587.0840302,30.59384983,Phycoerythrin
587.7454487,29.77530128,Phycoerythrin
588.4067559,28.9257547,Phycoerythrin
589.0682423,28.12614939,Phycoerythrin
589.8248159,27.37640744,Phycoerythrin
590.5815563,26.67316253,Phycoerythrin
591.2434074,25.97516184,Phycoerythrin
591.8103817,25.2858496,Phycoerythrin
592.2823345,24.56492837,Phycoerythrin
592.6589115,23.71372113,Phycoerythrin
593.3198323,22.75654253,Phycoerythrin
593.8867077,22.03967649,Phycoerythrin
594.7384177,21.35357482,Phycoerythrin
595.7798445,20.63976358,Phycoerythrin
596.7263115,19.91156448,Phycoerythrin
597.7678643,19.23288434,Phycoerythrin
598.9242856,18.82689332,Phycoerythrin
